developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20172080AH1,39849.6,,affordable-housing,20172080-da,local-authority-eng:NLN,2020-10-29,2018-09-19,,/developer-agreement-contribution/local-authority-eng/NLN/20172080AH1
20172080AH2,39849.6,,affordable-housing,20172080-da,local-authority-eng:NLN,2020-10-29,2018-09-19,,/developer-agreement-contribution/local-authority-eng/NLN/20172080AH2
20172080LE,5000,,open-space-and-leisure,20172080-da,local-authority-eng:NLN,2020-10-29,2018-09-19,,/developer-agreement-contribution/local-authority-eng/NLN/20172080LE
20172080REC,7037.3,,open-space-and-leisure,20172080-da,local-authority-eng:NLN,2020-10-29,2018-09-19,,/developer-agreement-contribution/local-authority-eng/NLN/20172080REC
20172080OS,,1,open-space-and-leisure,20172080-da,local-authority-eng:NLN,2020-10-29,2018-09-19,,/developer-agreement-contribution/local-authority-eng/NLN/20172080OS
20172095AH1,69212.6,,affordable-housing,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095AH1
20172095AH2,69212.6,,affordable-housing,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095AH2
20172095PT1,30000,,transport-and-travel,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095PT1
20172095PT2,30000,,transport-and-travel,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095PT2
20172095LE,25000,,open-space-and-leisure,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095LE
20172095OS1,15844,,open-space-and-leisure,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095OS1
20172095OS2,,1,open-space-and-leisure,20172095-da,local-authority-eng:NLN,2020-10-29,2019-04-11,,/developer-agreement-contribution/local-authority-eng/NLN/20172095OS2
20172137OS,,1,open-space-and-leisure,20172137-da,local-authority-eng:NLN,2020-10-29,2018-03-27,,/developer-agreement-contribution/local-authority-eng/NLN/20172137OS
20172137REC,37000,,open-space-and-leisure,20172137-da,local-authority-eng:NLN,2020-10-29,2019-03-27,,/developer-agreement-contribution/local-authority-eng/NLN/20172137REC
20180217AH,,16,affordable-housing,20180217-da,local-authority-eng:NLN,2020-10-29,2018-03-26,,/developer-agreement-contribution/local-authority-eng/NLN/20180217AH
20180393HW1,22881.83,,highways,20180393-da,local-authority-eng:NLN,2020-10-29,2019-01-04,,/developer-agreement-contribution/local-authority-eng/NLN/20180393HW1
20180393HW2,66796.23,,highways,20180393-da,local-authority-eng:NLN,2020-10-29,2019-01-04,,/developer-agreement-contribution/local-authority-eng/NLN/20180393HW2
20180440AH,16656.6,,affordable-housing,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440AH
20180440ED1,33422.1,,education,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440ED1
20180440ED2,33422.1,,education,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440ED2
20180440ED3,44562.8,,education,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440ED3
20180440OS1,21413.4,,open-space-and-leisure,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440OS1
20180440OS2,1,,open-space-and-leisure,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440OS2
20180440REC,33523,,open-space-and-leisure,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440REC
20180440LE,17000,,open-space-and-leisure,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440LE
20180440HW,6500,,highways,20180440-da,local-authority-eng:NLN,2020-10-29,2019-09-30,,/developer-agreement-contribution/local-authority-eng/NLN/20180440HW
20180999AH,,22,affordable-housing,20180999-da,local-authority-eng:NLN,2020-10-29,2019-03-21,,/developer-agreement-contribution/local-authority-eng/NLN/20180999AH
